weight,name,tags,path
0,"Margin of error for White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H001.json
0,"Margin of error for Male in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H002.json
0,"Margin of error for Under 18 years Male in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H003.json
0,"Margin of error for Native Male old in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H004.json
0,"Margin of error for Foreign born Male old in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H005.json
0,"Margin of error for Naturalized U.S. citizen Male old Foreign born Nativity and Citizenship Status (White Alone, Not Hispanic or Latino) in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H006.json
0,"Margin of error for Not a U.S. citizen Male old Foreign born Nativity and Citizenship Status (White Alone, Not Hispanic or Latino) in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H007.json
0,"Margin of error for 18 years and over Male in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H008.json
0,"Margin of error for Native Male old in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H009.json
0,"Margin of error for Foreign born Male old in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H010.json
0,"Margin of error for Naturalized U.S. citizen Male old Foreign born Nativity and Citizenship Status (White Alone, Not Hispanic or Latino) in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H011.json
0,"Margin of error for Not a U.S. citizen Male old Foreign born Nativity and Citizenship Status (White Alone, Not Hispanic or Latino) in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H012.json
0,"Margin of error for Female in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H013.json
0,"Margin of error for Under 18 years Female in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H014.json
0,"Margin of error for Native Female old in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H015.json
0,"Margin of error for Foreign born Female old in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H016.json
0,"Margin of error for Naturalized U.S. citizen Female old Foreign born Nativity and Citizenship Status (White Alone, Not Hispanic or Latino) in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H017.json
0,"Margin of error for Not a U.S. citizen Female old Foreign born Nativity and Citizenship Status (White Alone, Not Hispanic or Latino) in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H018.json
0,"Margin of error for 18 years and over Female in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H019.json
0,"Margin of error for Native Female old in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H020.json
0,"Margin of error for Foreign born Female old in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H021.json
0,"Margin of error for Naturalized U.S. citizen Female old Foreign born Nativity and Citizenship Status (White Alone, Not Hispanic or Latino) in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H022.json
0,"Margin of error for Not a U.S. citizen Female old Foreign born Nativity and Citizenship Status (White Alone, Not Hispanic or Latino) in White Alone, Not Hispanic or Latino Population",place of birth|age|race|citizenship|sex,data/columns/us/census/acs/B05003H/moe/B05003H023.json
