weight,name,tags,path
0,Margin of error for Total Population,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004001.json
0,Margin of error for Male,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004002.json
0,Margin of error for Female,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004003.json
0,Margin of error for Native,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004004.json
0,Margin of error for Male Native Median Age,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004005.json
0,Margin of error for Female Native Median Age,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004006.json
0,Margin of error for Foreign born,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004007.json
0,Margin of error for Male Foreign born Median Age,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004008.json
0,Margin of error for Female Foreign born Median Age,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004009.json
0,Margin of error for Naturalized U.S. citizen Foreign born Median Age,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004010.json
0,Margin of error for Male Foreign born Median Age Naturalized U.S. citizen Nativity and Citizenship Status,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004011.json
0,Margin of error for Female Foreign born Median Age Naturalized U.S. citizen Nativity and Citizenship Status,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004012.json
0,Margin of error for Not a U.S. citizen Foreign born Median Age,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004013.json
0,Margin of error for Male Foreign born Median Age Not a U.S. citizen Nativity and Citizenship Status,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004014.json
0,Margin of error for Female Foreign born Median Age Not a U.S. citizen Nativity and Citizenship Status,place of birth|age|citizenship|sex,data/columns/us/census/acs/B05004/moe/B05004015.json
