weight,name,tags,path
0,White Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005A/B16005A001.json
0,Native in White Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005A/B16005A002.json
0,Speak only English Native Nativity in White Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005A/B16005A003.json
0,Speak another language Native Nativity in White Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005A/B16005A004.json
0,"Speak English ""very well"" Native Nativity Speak another language Language Spoken at Home in White Alone Population 5 Years and Over",place of birth|race|language,data/columns/us/census/acs/B16005A/B16005A005.json
0,"Speak English less than ""very well"" Native Nativity Speak another language Language Spoken at Home in White Alone Population 5 Years and Over",place of birth|race|language,data/columns/us/census/acs/B16005A/B16005A006.json
0,Foreign born in White Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005A/B16005A007.json
0,Speak only English Foreign born Nativity in White Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005A/B16005A008.json
0,Speak another language Foreign born Nativity in White Alone Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005A/B16005A009.json
0,"Speak English ""very well"" Foreign born Nativity Speak another language Language Spoken at Home in White Alone Population 5 Years and Over",place of birth|race|language,data/columns/us/census/acs/B16005A/B16005A010.json
0,"Speak English less than ""very well"" Foreign born Nativity Speak another language Language Spoken at Home in White Alone Population 5 Years and Over",place of birth|race|language,data/columns/us/census/acs/B16005A/B16005A011.json
