weight,name,tags,path
0,Hispanic or Latino Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005I/B16005I001.json
0,Native in Hispanic or Latino Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005I/B16005I002.json
0,Speak only English Native Nativity in Hispanic or Latino Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005I/B16005I003.json
0,Speak another language Native Nativity in Hispanic or Latino Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005I/B16005I004.json
0,"Speak English ""very well"" Native Nativity Speak another language Language Spoken at Home in Hispanic or Latino Population 5 Years and Over",place of birth|race|language,data/columns/us/census/acs/B16005I/B16005I005.json
0,"Speak English less than ""very well"" Native Nativity Speak another language Language Spoken at Home in Hispanic or Latino Population 5 Years and Over",place of birth|race|language,data/columns/us/census/acs/B16005I/B16005I006.json
0,Foreign born in Hispanic or Latino Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005I/B16005I007.json
0,Speak only English Foreign born Nativity in Hispanic or Latino Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005I/B16005I008.json
0,Speak another language Foreign born Nativity in Hispanic or Latino Population 5 Years and Over,place of birth|race|language,data/columns/us/census/acs/B16005I/B16005I009.json
0,"Speak English ""very well"" Foreign born Nativity Speak another language Language Spoken at Home in Hispanic or Latino Population 5 Years and Over",place of birth|race|language,data/columns/us/census/acs/B16005I/B16005I010.json
0,"Speak English less than ""very well"" Foreign born Nativity Speak another language Language Spoken at Home in Hispanic or Latino Population 5 Years and Over",place of birth|race|language,data/columns/us/census/acs/B16005I/B16005I011.json
