weight,name,tags,path
0,Margin of error for Families,families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022001.json
0,Margin of error for Under 1.30 in Families,families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022002.json
0,Margin of error for Married-couple family Under 1.30 Ratio of Income to Poverty Level in the Past 12 Months of Families,families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022003.json
0,Margin of error for With related children under 18 years Under 1.30 Ratio of Income to Poverty Level in the Past 12 Months of Families Married-couple family Family Type,families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022004.json
0,Margin of error for Under 5 years only Under 1.30 Ratio of Income to Poverty Level in the Past 12 Months of Families Married-couple family Family Type With related children under 18 years Presence of Related Children Under 18 Years,families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022005.json
0,Margin of error for Under 5 years and 5 to 17 years Under 1.30 Ratio of Income to Poverty Level in the Past 12 Months of Families Married-couple family Family Type With related children under 18 years Presence of Related Children Under 18 Years,families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022006.json
0,Margin of error for 5 to 17 years only Under 1.30 Ratio of Income to Poverty Level in the Past 12 Months of Families Married-couple family Family Type With related children under 18 years Presence of Related Children Under 18 Years,families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022007.json
0,Margin of error for No related children under 18 years Under 1.30 Ratio of Income to Poverty Level in the Past 12 Months of Families Married-couple family Family Type,families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022008.json
0,Margin of error for Other family Under 1.30 Ratio of Income to Poverty Level in the Past 12 Months of Families,families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022009.json
0,"Margin of error for Male householder, no wife present Under 1.30 Ratio of Income to Poverty Level in the Past 12 Months of Families Other family Family Type",families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022010.json
0,"Margin of error for With related children under 18 years Under 1.30 Ratio of Income to Poverty Level in the Past 12 Months of Families Other family Family Type Male householder, no wife present Presence of Related Children Under 18 Years",families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022011.json
0,"Margin of error for Under 5 years only Under 1.30 Ratio of Income to Poverty Level in the Past 12 Months of Families Other family Family Type Male householder, no wife present Presence of Related Children Under 18 Years With related children under 18 years Age of Related Children",families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022012.json
0,"Margin of error for Under 5 years and 5 to 17 years Under 1.30 Ratio of Income to Poverty Level in the Past 12 Months of Families Other family Family Type Male householder, no wife present Presence of Related Children Under 18 Years With related children under 18 years Age of Related Children",families|age|family type|poverty|income|children,data/columns/us/census/acs/B17022/moe/B17022013.json
