weight,name,tags,path
0,Black or African American Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101B/B18101B001.json
0,Under 18 years in Black or African American Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101B/B18101B002.json
0,With a disability old in Black or African American Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101B/B18101B003.json
0,No disability old in Black or African American Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101B/B18101B004.json
0,18 to 64 years in Black or African American Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101B/B18101B005.json
0,With a disability old in Black or African American Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101B/B18101B006.json
0,No disability old in Black or African American Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101B/B18101B007.json
0,65 years and over in Black or African American Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101B/B18101B008.json
0,With a disability old in Black or African American Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101B/B18101B009.json
0,No disability old in Black or African American Alone Civilian Noninstitutionalized Population,age|race|disability,data/columns/us/census/acs/B18101B/B18101B010.json
