weight,name,tags,path
0,SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F001.json
0,Under 6 years in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F002.json
0,With health insurance coverage Under 6 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F003.json
0,No health insurance coverage Under 6 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F004.json
0,6 to 17 years in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F005.json
0,With health insurance coverage 6 to 17 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F006.json
0,No health insurance coverage 6 to 17 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F007.json
0,18 to 24 years in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F008.json
0,With health insurance coverage 18 to 24 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F009.json
0,No health insurance coverage 18 to 24 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F010.json
0,25 to 34 years in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F011.json
0,With health insurance coverage 25 to 34 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F012.json
0,No health insurance coverage 25 to 34 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F013.json
0,35 to 44 years in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F014.json
0,With health insurance coverage 35 to 44 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F015.json
0,No health insurance coverage 35 to 44 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F016.json
0,45 to 54 years in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F017.json
0,With health insurance coverage 45 to 54 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F018.json
0,No health insurance coverage 45 to 54 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F019.json
0,55 to 64 years in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F020.json
0,With health insurance coverage 55 to 64 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F021.json
0,No health insurance coverage 55 to 64 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F022.json
0,65 to 74 years in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F023.json
0,With health insurance coverage 65 to 74 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F024.json
0,No health insurance coverage 65 to 74 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F025.json
0,75 years and over in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F026.json
0,With health insurance coverage 75 years and over Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F027.json
0,No health insurance coverage 75 years and over Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/B27001F/B27001F028.json
