weight,name,tags,path
0,Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR001.json
0,Speak only English in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR002.json
0,Speak language other than English in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR003.json
0,"Speak English ""very well"" Speak language other than English Place of Birth in Population 5 Years and Over in Puerto Rico",place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR004.json
0,"Speak English less than ""very well"" Speak language other than English Place of Birth in Population 5 Years and Over in Puerto Rico",place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR005.json
0,Born in Puerto Rico in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR006.json
0,Speak only English Born in Puerto Rico Place of Birth in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR007.json
0,Speak language other than English Born in Puerto Rico Place of Birth in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR008.json
0,"Speak English ""very well"" Born in Puerto Rico Place of Birth Speak language other than English Language Spoken at Home and Ability to Speak English in Puerto Rico in Population 5 Years and Over in Puerto Rico",place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR009.json
0,"Speak English less than ""very well"" Born in Puerto Rico Place of Birth Speak language other than English Language Spoken at Home and Ability to Speak English in Puerto Rico in Population 5 Years and Over in Puerto Rico",place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR010.json
0,Born in the United States in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR011.json
0,Speak only English Born in the United States Place of Birth in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR012.json
0,Speak language other than English Born in the United States Place of Birth in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR013.json
0,"Speak English ""very well"" Born in the United States Place of Birth Speak language other than English Language Spoken at Home and Ability to Speak English in Puerto Rico in Population 5 Years and Over in Puerto Rico",place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR014.json
0,"Speak English less than ""very well"" Born in the United States Place of Birth Speak language other than English Language Spoken at Home and Ability to Speak English in Puerto Rico in Population 5 Years and Over in Puerto Rico",place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR015.json
0,Native; born elsewhere in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR016.json
0,Speak only English Native; born elsewhere Place of Birth in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR017.json
0,Speak language other than English Native; born elsewhere Place of Birth in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR018.json
0,"Speak English ""very well"" Native; born elsewhere Place of Birth Speak language other than English Language Spoken at Home and Ability to Speak English in Puerto Rico in Population 5 Years and Over in Puerto Rico",place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR019.json
0,"Speak English less than ""very well"" Native; born elsewhere Place of Birth Speak language other than English Language Spoken at Home and Ability to Speak English in Puerto Rico in Population 5 Years and Over in Puerto Rico",place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR020.json
0,Foreign born in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR021.json
0,Speak only English Foreign born Place of Birth in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR022.json
0,Speak language other than English Foreign born Place of Birth in Population 5 Years and Over in Puerto Rico,place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR023.json
0,"Speak English ""very well"" Foreign born Place of Birth Speak language other than English Language Spoken at Home and Ability to Speak English in Puerto Rico in Population 5 Years and Over in Puerto Rico",place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR024.json
0,"Speak English less than ""very well"" Foreign born Place of Birth Speak language other than English Language Spoken at Home and Ability to Speak English in Puerto Rico in Population 5 Years and Over in Puerto Rico",place of birth|language,data/columns/us/census/acs/C06007PR/C06007PR025.json
