weight,name,tags,path
0,Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008001.json
0,Never married in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008002.json
0,"Now married, except separated in Population 15 Years and Over",marital status|place of birth,data/columns/us/census/acs/C06008/C06008003.json
0,Divorced or separated in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008004.json
0,Widowed in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008005.json
0,Born in state of residence in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008006.json
0,Never married Born in state of residence Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008007.json
0,"Now married, except separated Born in state of residence Place of Birth in Population 15 Years and Over",marital status|place of birth,data/columns/us/census/acs/C06008/C06008008.json
0,Divorced or separated Born in state of residence Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008009.json
0,Widowed Born in state of residence Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008010.json
0,Born in other state in the United States in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008011.json
0,Never married Born in other state in the United States Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008012.json
0,"Now married, except separated Born in other state in the United States Place of Birth in Population 15 Years and Over",marital status|place of birth,data/columns/us/census/acs/C06008/C06008013.json
0,Divorced or separated Born in other state in the United States Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008014.json
0,Widowed Born in other state in the United States Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008015.json
0,Native; born outside the United States in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008016.json
0,Never married Native; born outside the United States Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008017.json
0,"Now married, except separated Native; born outside the United States Place of Birth in Population 15 Years and Over",marital status|place of birth,data/columns/us/census/acs/C06008/C06008018.json
0,Divorced or separated Native; born outside the United States Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008019.json
0,Widowed Native; born outside the United States Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008020.json
0,Foreign born in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008021.json
0,Never married Foreign born Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008022.json
0,"Now married, except separated Foreign born Place of Birth in Population 15 Years and Over",marital status|place of birth,data/columns/us/census/acs/C06008/C06008023.json
0,Divorced or separated Foreign born Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008024.json
0,Widowed Foreign born Place of Birth in Population 15 Years and Over,marital status|place of birth,data/columns/us/census/acs/C06008/C06008025.json
