weight,name,tags,path
0,Margin of error for Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR001.json
0,Margin of error for Never married in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR002.json
0,"Margin of error for Now married, except separated in Population 15 Years and Over",marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR003.json
0,Margin of error for Divorced or separated in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR004.json
0,Margin of error for Widowed in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR005.json
0,Margin of error for Same house in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR006.json
0,Margin of error for Never married Same house Geographical Mobility in the Past Year in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR007.json
0,"Margin of error for Now married, except separated Same house Geographical Mobility in the Past Year in Population 15 Years and Over",marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR008.json
0,Margin of error for Divorced or separated Same house Geographical Mobility in the Past Year in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR009.json
0,Margin of error for Widowed Same house Geographical Mobility in the Past Year in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR010.json
0,Margin of error for Moved within same municipio in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR011.json
0,Margin of error for Never married Moved within same municipio Geographical Mobility in the Past Year in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR012.json
0,"Margin of error for Now married, except separated Moved within same municipio Geographical Mobility in the Past Year in Population 15 Years and Over",marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR013.json
0,Margin of error for Divorced  or separated Moved within same municipio Geographical Mobility in the Past Year in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR014.json
0,Margin of error for Widowed Moved within same municipio Geographical Mobility in the Past Year in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR015.json
0,Margin of error for Moved to different municipio in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR016.json
0,Margin of error for Never married Moved to different municipio Geographical Mobility in the Past Year in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR017.json
0,"Margin of error for Now married, except separated Moved to different municipio Geographical Mobility in the Past Year in Population 15 Years and Over",marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR018.json
0,Margin of error for Divorced  or separated Moved to different municipio Geographical Mobility in the Past Year in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR019.json
0,Margin of error for Widowed Moved to different municipio Geographical Mobility in the Past Year in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR020.json
0,Margin of error for Moved to the United States in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR021.json
0,Margin of error for Never married Moved to the United States Geographical Mobility in the Past Year in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR022.json
0,"Margin of error for Now married, except separated Moved to the United States Geographical Mobility in the Past Year in Population 15 Years and Over",marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR023.json
0,Margin of error for Divorced  or separated Moved to the United States Geographical Mobility in the Past Year in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR024.json
0,Margin of error for Widowed Moved to the United States Geographical Mobility in the Past Year in Population 15 Years and Over,marital status|migration,data/columns/us/census/acs/C07408PR/moe/C07408PR025.json
