weight,name,tags,path
0,Families,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015001.json
0,Income in the past 12 months below poverty level in Families,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015002.json
0,With Social Security income in the past 12 months Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015003.json
0,With SSI and/or public assistance income in the past 12 months Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families With Social Security income in the past 12 months Social Security Income,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015004.json
0,Without SSI or public assistance income in the past 12 months Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families With Social Security income in the past 12 months Social Security Income,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015005.json
0,Without Social Security income in the past 12 months Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015006.json
0,With SSI and/or public assistance income in the past 12 months Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families Without Social Security income in the past 12 months Social Security Income,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015007.json
0,Without SSI or public assistance income in the past 12 months Income in the past 12 months below poverty level Poverty Status in the Past 12 Months of Families Without Social Security income in the past 12 months Social Security Income,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015008.json
0,Income in the past 12 months at or above poverty level in Families,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015009.json
0,With Social Security income in the past 12 months Income in the past 12 months at or above poverty level Poverty Status in the Past 12 Months of Families,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015010.json
0,With SSI and/or public assistance income in the past 12 months Income in the past 12 months at or above poverty level Poverty Status in the Past 12 Months of Families With Social Security income in the past 12 months Social Security Income,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015011.json
0,Without SSI or public assistance income in the past 12 months Income in the past 12 months at or above poverty level Poverty Status in the Past 12 Months of Families With Social Security income in the past 12 months Social Security Income,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015012.json
0,Without Social Security income in the past 12 months Income in the past 12 months at or above poverty level Poverty Status in the Past 12 Months of Families,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015013.json
0,With SSI and/or public assistance income in the past 12 months Income in the past 12 months at or above poverty level Poverty Status in the Past 12 Months of Families Without Social Security income in the past 12 months Social Security Income,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015014.json
0,Without SSI or public assistance income in the past 12 months Income in the past 12 months at or above poverty level Poverty Status in the Past 12 Months of Families Without Social Security income in the past 12 months Social Security Income,public assistance|families|poverty|income,data/columns/us/census/acs/C17015/C17015015.json
