weight,name,tags,path
0,Margin of error for BLACK OR AFRICAN AMERICAN ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001B/moe/C27001B001.json
0,Margin of error for Under 18 years in BLACK OR AFRICAN AMERICAN ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001B/moe/C27001B002.json
0,Margin of error for With health insurance coverage Under 18 years Health Insurance Coverage Status in BLACK OR AFRICAN AMERICAN ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001B/moe/C27001B003.json
0,Margin of error for No health insurance coverage Under 18 years Health Insurance Coverage Status in BLACK OR AFRICAN AMERICAN ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001B/moe/C27001B004.json
0,Margin of error for 18 to 64 years in BLACK OR AFRICAN AMERICAN ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001B/moe/C27001B005.json
0,Margin of error for With health insurance coverage 18 to 64 years Health Insurance Coverage Status in BLACK OR AFRICAN AMERICAN ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001B/moe/C27001B006.json
0,Margin of error for No health insurance coverage 18 to 64 years Health Insurance Coverage Status in BLACK OR AFRICAN AMERICAN ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001B/moe/C27001B007.json
0,Margin of error for 65 years and over in BLACK OR AFRICAN AMERICAN ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001B/moe/C27001B008.json
0,Margin of error for With health insurance coverage 65 years and over Health Insurance Coverage Status in BLACK OR AFRICAN AMERICAN ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001B/moe/C27001B009.json
0,Margin of error for No health insurance coverage 65 years and over Health Insurance Coverage Status in BLACK OR AFRICAN AMERICAN ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001B/moe/C27001B010.json
