weight,name,tags,path
0,SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001F/C27001F001.json
0,Under 18 years in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001F/C27001F002.json
0,With health insurance coverage Under 18 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001F/C27001F003.json
0,No health insurance coverage Under 18 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001F/C27001F004.json
0,18 to 64 years in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001F/C27001F005.json
0,With health insurance coverage 18 to 64 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001F/C27001F006.json
0,No health insurance coverage 18 to 64 years Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001F/C27001F007.json
0,65 years and over in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001F/C27001F008.json
0,With health insurance coverage 65 years and over Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001F/C27001F009.json
0,No health insurance coverage 65 years and over Health Insurance Coverage Status in SOME OTHER RACE ALONE CIVILIAN NONINSTITUTIONALIZED POPULATION,health insurance|race|age,data/columns/us/census/acs/C27001F/C27001F010.json
