weight,name,tags,path
0,"WHITE ALONE, NOT HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION",health insurance|race|age,data/columns/us/census/acs/C27001H/C27001H001.json
0,"Under 18 years in WHITE ALONE, NOT HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION",health insurance|race|age,data/columns/us/census/acs/C27001H/C27001H002.json
0,"With health insurance coverage Under 18 years Health Insurance Coverage Status in WHITE ALONE, NOT HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION",health insurance|race|age,data/columns/us/census/acs/C27001H/C27001H003.json
0,"No health insurance coverage Under 18 years Health Insurance Coverage Status in WHITE ALONE, NOT HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION",health insurance|race|age,data/columns/us/census/acs/C27001H/C27001H004.json
0,"18 to 64 years in WHITE ALONE, NOT HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION",health insurance|race|age,data/columns/us/census/acs/C27001H/C27001H005.json
0,"With health insurance coverage 18 to 64 years Health Insurance Coverage Status in WHITE ALONE, NOT HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION",health insurance|race|age,data/columns/us/census/acs/C27001H/C27001H006.json
0,"No health insurance coverage 18 to 64 years Health Insurance Coverage Status in WHITE ALONE, NOT HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION",health insurance|race|age,data/columns/us/census/acs/C27001H/C27001H007.json
0,"65 years and over in WHITE ALONE, NOT HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION",health insurance|race|age,data/columns/us/census/acs/C27001H/C27001H008.json
0,"With health insurance coverage 65 years and over Health Insurance Coverage Status in WHITE ALONE, NOT HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION",health insurance|race|age,data/columns/us/census/acs/C27001H/C27001H009.json
0,"No health insurance coverage 65 years and over Health Insurance Coverage Status in WHITE ALONE, NOT HISPANIC OR LATINO CIVILIAN NONINSTITUTIONALIZED POPULATION",health insurance|race|age,data/columns/us/census/acs/C27001H/C27001H010.json
